variable,table,category,status,source,notes
TCode,,unassigned,pending,"DerivedVariables_Schema.json","primary key candidate; 8-char pseudo-anon id, x-primaryKey in source"
R0_Ethnicity,,unassigned,pending,"DerivedVariables_Schema.json","enum 1/2/3/4/9/null"
R0_AshkenaziAncestry,,unassigned,pending,"DerivedVariables_Schema.json","binary enum 0/1/null"
R0_PregAt20,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/9999/null; 9999=NA"
R0_Height20,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,320)"
R0_Weight20,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,500)"
R0_BMI20,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,165); calculated"
R0_PregAtEntry,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null"
R0_Height,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/number(0,320); no 9999 branch here"
R0_Weight,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/number(0,500); no 9999 branch here"
R0_BMI,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,165); calculated"
R0_HighestWeight,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/number(0,700); no 9999 branch"
R0_HighestWeightAge,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_WaistCircum,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/number(0,350)"
R0_HipCircum,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/number(0,350)"
R0_WaistHipRatio,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,10); calculated"
R0_AgeMenarche,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/integer(0,100)"
R0_OralContraceptiveStatus,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/2/null"
R0_AgeStartedOC,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,120)"
R0_AgeLastUsedOC,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,120)"
R0_OCLength,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number[0,120)"
R0_Parous,,unassigned,pending,"DerivedVariables_Schema.json","enum -1/0/1/9/null"
R0_Parity,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/integer>=0"
R0_AgeFFTP,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,120)"
R0_AgeLFTP,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number(0,120)"
R0_BreastfeedingDuration,,unassigned,pending,"DerivedVariables_Schema.json","oneOf null/9999-NA/number[0,1300)"
R0_Breastfed,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/9999/null"
R0_BBD,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null"
R0_DiabetesStatus,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null"
R0_AgeDiabetes,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0; retained only if R0_DiabetesStatus=1 per x-description"
R0_DiabetesInsulin,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/null"
R0_Menopause,,unassigned,pending,"DerivedVariables_Schema.json","enum 1/2/3/4/9/null"
R0_AgeMenopause,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_MenopauseReason,,unassigned,pending,"DerivedVariables_Schema.json","enum 1-19/null, 19 levels"
R0_HRTStatus,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/2/null"
R0_HRTStartAge,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_HRTStopAge,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_HRTDuration,,unassigned,pending,"DerivedVariables_Schema.json","number/null, minimum 0; calculated from HRTStartAge/StopAge"
R0_AlcoholStatus,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/2/null"
R0_AgeStartedDrinking,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_AgeStoppedDrinking,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_AlcoholUnitsPerWeek,,unassigned,pending,"DerivedVariables_Schema.json","number/null, minimum 0"
R0_SmokingStatus,,unassigned,pending,"DerivedVariables_Schema.json","enum 0/1/2/null"
R0_AgeStartedSmoking,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_AgeStoppedSmoking,,unassigned,pending,"DerivedVariables_Schema.json","integer/null, minimum 0"
R0_CigsPerDay,,unassigned,pending,"DerivedVariables_Schema.json","number/null, minimum 0"
